Points_0,Points_1,Points_2
0.00761994,-0.00726153,0.0107826
0.00757874,-0.00720655,0.0108417
0.00742787,-0.00700605,0.0110508
0.00742735,-0.00700516,0.0110518
0.00736313,-0.00689482,0.0111841
0.0073379,-0.00686424,0.0112165
0.00731945,-0.00684425,0.0112359
0.0073194,-0.0068442,0.0112359
0.00701213,-0.00650397,0.0116507
0.0068686,-0.00640842,0.011856
0.00682179,-0.00637609,0.0119273
0.00661645,-0.00621027,0.0121757
0.00650527,-0.00614752,0.0122664
0.00633088,-0.00605456,0.0124543
0.00620852,-0.00595899,0.0125938
0.00620106,-0.00595213,0.0126022
0.0058949,-0.00578139,0.0128963
0.00565847,-0.00559447,0.0131987
0.0053811,-0.00548957,0.0134407
0.00491968,-0.00522336,0.0139238
0.00490898,-0.00521741,0.0139337
0.00474788,-0.00510183,0.0141159
0.0043374,-0.00495233,0.0145429
0.00432742,-0.00494403,0.0145554
0.00409136,-0.00475696,0.0147704
0.00408986,-0.0047551,0.0147721
0.00371554,-0.00429212,0.0151986
0.00353593,-0.00413341,0.0154181
0.00329808,-0.00392166,0.0157622
0.00325231,-0.00389474,0.0158162
0.003082,-0.00372572,0.0160389
0.00306202,-0.0037133,0.0160619
0.00236528,-0.00324468,0.0167726
0.00229264,-0.00316383,0.0169018
0.00170221,-0.00274022,0.0175045
0.0016345,-0.00267112,0.0175831
0.00153359,-0.00258891,0.0176896
0.00150629,-0.00255799,0.0177224
0.00130374,-0.00239052,0.0179252
0.00121055,-0.00230322,0.0180196
0.00101189,-0.00213187,0.0182571
0.00044177,-0.00167463,0.0184153
7.22501e-05,-0.00142387,0.018289
-0.000543134,-0.000360287,0.0183003
-0.00146582,0.00124218,0.0189807
-0.0014921,0.00126819,0.0189794
-0.00204297,0.00195387,0.0193336
-0.00222325,0.00222126,0.0196526
-0.00272523,0.00294347,0.0200144
-0.0027723,0.00296487,0.0200616
-0.00372275,0.00364689,0.020403
-0.00372565,0.0036495,0.0204027
-0.00444857,0.00430143,0.0203356
-0.00467888,0.00435232,0.0204192
-0.00515339,0.00440193,0.0207273
-0.00528391,0.00445206,0.020801
-0.00617741,0.00469939,0.0217195
-0.00619636,0.00472921,0.0217789
-0.00630827,0.0048288,0.0220174
-0.00647091,0.00500664,0.0223524
-0.00662913,0.00525891,0.0227905
-0.00663751,0.00528804,0.0228625
-0.00670417,0.00546723,0.0234547
-0.00669277,0.00563667,0.0238551
-0.00669292,0.00563705,0.0238563
-0.00672942,0.00573085,0.0241381
-0.00673002,0.00573372,0.0241465
-0.00674603,0.00581054,0.0243717
-0.0067523,0.00583588,0.0244302
-0.00675328,0.00600593,0.0248432
-0.00668728,0.00616047,0.0254367
